"filename", "language", "Markdown", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Git Hub\3x3\src\components\tournaments\JoinedTournamentDetailsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 503, 0, 6, 47, 556
"c:\Git Hub\3x3\src\components\tournaments\MatchManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 473, 0, 18, 59, 550
"c:\Git Hub\3x3\src\components\tournaments\PublicTournamentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 168, 0, 0, 18, 186
"c:\Git Hub\3x3\src\components\tournaments\PublicTournamentDetailsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 515, 0, 13, 47, 575
"c:\Git Hub\3x3\src\components\tournaments\ScheduleMatchesModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 380, 0, 13, 28, 421
"c:\Git Hub\3x3\src\components\tournaments\StandingsDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 259, 0, 11, 15, 285
"c:\Git Hub\3x3\src\lib\db\auth\createUser.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 9, 45
"c:\Git Hub\3x3\src\lib\db\auth\loginUser.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Git Hub\3x3\src\lib\db\auth\session.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 10, 77
"c:\Git Hub\3x3\src\lib\db\brackets\roundRobin.ts", "TypeScript", 0, 0, 0, 0, 228, 0, 0, 98, 46, 372
"c:\Git Hub\3x3\src\lib\db\brackets\singleElimination.ts", "TypeScript", 0, 0, 0, 0, 226, 0, 0, 82, 53, 361
"c:\Git Hub\3x3\src\lib\db\db.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Git Hub\3x3\src\lib\db\progression\matchProgression.ts", "TypeScript", 0, 0, 0, 0, 496, 0, 0, 82, 81, 659
"c:\Git Hub\3x3\src\lib\db\scheduling\timeScheduler.ts", "TypeScript", 0, 0, 0, 0, 282, 0, 0, 72, 60, 414
"c:\Git Hub\3x3\src\lib\db\teams\createTeam.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 0, 0, 19, 105
"c:\Git Hub\3x3\src\lib\db\teams\getMyTeams.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 11, 45
"c:\Git Hub\3x3\src\lib\db\teams\joinTeam.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 12, 58
"c:\Git Hub\3x3\src\lib\db\teams\teamActions.ts", "TypeScript", 0, 0, 0, 0, 280, 0, 0, 0, 53, 333
"c:\Git Hub\3x3\src\lib\db\tournaments\joinTournament.ts", "TypeScript", 0, 0, 0, 0, 117, 0, 0, 0, 22, 139
"c:\Git Hub\3x3\src\lib\db\tournaments\tournamentActions.ts", "TypeScript", 0, 0, 0, 0, 609, 0, 0, 22, 118, 749
"c:\Git Hub\3x3\src\lib\db\tournaments\tournamentScheduler.ts", "TypeScript", 0, 0, 0, 0, 411, 0, 0, 81, 76, 568
"c:\Git Hub\3x3\src\lib\db\users\userSettings.ts", "TypeScript", 0, 0, 0, 0, 129, 0, 0, 7, 23, 159
"c:\Git Hub\3x3\src\lib\db\utils\helpers.ts", "TypeScript", 0, 0, 0, 0, 119, 0, 0, 0, 34, 153
"c:\Git Hub\3x3\src\middleware.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 6, 6, 28
"c:\Git Hub\3x3\tsconfig.json", "JSON with Comments", 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"Total", "-", 23, 6422, 16, 33, 3261, 7366, 4, 580, 1339, 19044
